mid,did
tt0066921,nm0000040
tt0093058,nm0380282
tt0093058,nm0000040
tt0093058,nm0368007
tt0036775,nm0128906
tt0036775,nm0151452
tt0036775,nm0000697
tt0086250,nm0001328
tt0086250,nm0372942
tt0086250,nm0000231
tt0086250,nm0000361
tt0053604,nm0224634
tt0053604,nm0000697
tt0211915,nm0000466
tt0211915,nm0491011
tt0052357,nm0178785
tt0052357,nm0853138
tt0052357,nm0092267
tt0052357,nm0000033
tt2106476,nm0899121
tt2106476,nm2105585
tt0022100,nm0000485
tt0022100,nm0902376
tt0022100,nm0414825
tt0053125,nm0499626
tt0053125,nm0000033
tt0057565,nm0386750
tt0057565,nm0452878
tt0057565,nm0000041
tt0057565,nm0644823
tt0056172,nm0000180
tt0056172,nm0933858
tt0056172,nm0004122
tt8267604,nm1701024
tt8267604,nm2764802
tt8267604,nm9878616
tt0062622,nm0002009
tt0062622,nm0000040
tt0105236,nm0000233
tt0105236,nm0000812
tt0338013,nm0442109
tt0338013,nm0327273
tt0338013,nm1410028
tt5311514,nm1038805
tt5311514,nm1396121
tt0086190,nm0549658
tt0086190,nm0000184
tt0086190,nm0001410
tt0045152,nm0337582
tt0045152,nm0173679
tt0045152,nm0000037
tt0045152,nm0002045
tt1187043,nm0386246
tt1187043,nm0430785
tt1187043,nm0006765
tt0119217,nm0001814
tt0119217,nm0000354
tt0119217,nm0000255
tt0435761,nm0004056
tt0435761,nm0881279
tt0435761,nm0005124
tt0180093,nm0004716
tt0180093,nm0782968
tt0087843,nm0340580
tt0087843,nm0073053
tt0087843,nm0207401
tt0087843,nm0001466
tt0119698,nm0594503
tt0119698,nm0301274
tt0082096,nm0118164
tt0082096,nm0000583
tt4154796,nm0751648
tt4154796,nm0498278
tt4154796,nm0751577
tt4154796,nm1321656
tt4154796,nm1321655
tt2380307,nm0017690
tt2380307,nm0881279
tt2380307,nm2937122
tt2380307,nm0441735
tt0033467,nm0002144
tt0033467,nm0542534
tt0033467,nm0000080
tt0361748,nm0000233
tt0086879,nm0001232
tt0086879,nm0787323
tt0086879,nm0537004
tt4633694,nm0520488
tt4633694,nm2130108
tt4633694,nm0745247
tt4633694,nm0709056
tt0112573,nm0908824
tt0112573,nm0000154
tt0114709,nm0230032
tt0114709,nm0004056
tt0114709,nm0005124
tt0364569,nm2057405
tt0364569,nm1628380
tt0364569,nm0661791
tt0057012,nm0816143
tt0057012,nm0000040
tt0057012,nm0313570
tt1345836,nm0634240
tt1345836,nm0634300
tt1345836,nm0275286
tt7286456,nm0680846
tt7286456,nm0798788
tt7286456,nm0004170
tt0169547,nm0005222
tt0169547,nm0050332
tt0090605,nm0001353
tt0090605,nm0000116
tt0090605,nm0318429
tt0051201,nm0475823
tt0051201,nm0002005
tt0051201,nm0000697
tt0064116,nm0000783
tt0064116,nm0006872
tt0064116,nm0001466
tt1675434,nm0619923
tt1675434,nm4778840
tt1675434,nm0865918
tt2582802,nm3227090
tt0034583,nm0002031
tt0034583,nm0258525
tt0034583,nm0258493
tt0034583,nm0462321
tt0114814,nm0003160
tt0114814,nm0001741
tt0027977,nm0000122
tt0056058,nm0462030
tt0056058,nm0847668
tt0056058,nm0368074
tt0482571,nm0634240
tt0482571,nm0634300
tt0482571,nm1793993
tt108726x,nm0498278
tt108726x,nm0571344
tt108726x,nm1218281
tt108726x,nm1273099
tt0120586,nm0571346
tt0120586,nm0443411
tt0172495,nm0291905
tt0172495,nm0517589
tt0172495,nm0629933
tt0172495,nm0000631
tt0253474,nm0000591
tt0253474,nm0844262
tt0253474,nm0367838
tt6751668,nm8243301
tt6751668,nm0094435
tt0110413,nm0000108
tt0054215,nm0825010
tt0054215,nm0088645
tt0054215,nm0000033
tt0245429,nm0594503
tt0088763,nm0301826
tt0088763,nm0000709
tt0407887,nm1184258
tt0407887,nm0159039
tt0407887,nm0000217
tt0407887,nm0538320
tt0103064,nm0936537
tt0103064,nm0000116
tt0076759,nm0000184
tt0120689,nm0000175
tt0120689,nm0001104
tt0816692,nm0634240
tt0816692,nm0634300
tt0118799,nm0000905
tt0118799,nm0148437
tt0317248,nm0576987
tt0317248,nm0526199
tt0317248,nm1130251
tt0317248,nm0513130
tt0102926,nm0365383
tt0102926,nm0001129
tt0102926,nm0848217
tt0110357,nm0731271
tt0110357,nm0591450
tt0110357,nm0021249
tt0110357,nm0575293
tt0110357,nm0941314
tt0120815,nm0734441
tt0120815,nm0000229
tt0073486,nm0001232
tt0073486,nm0325743
tt0073486,nm0369142
tt0073486,nm0450181
tt0047478,nm0368074
tt0047478,nm0000041
tt0047478,nm0644823
tt0114369,nm0001825
tt0114369,nm0000399
tt0099685,nm0683380
tt0099685,nm0000217
tt0133093,nm0905154
tt0133093,nm0905152
tt0038650,nm0001008
tt0038650,nm0329304
tt0038650,nm0352443
tt0167261,nm0866058
tt0167261,nm0101991
tt0167261,nm0909638
tt0167261,nm0001392
tt1375666,nm0634240
tt0109830,nm0744839
tt0109830,nm0000709
tt0109830,nm0343165
tt0060196,nm0408488
tt0060196,nm0898812
tt0060196,nm0001466
tt0080684,nm0449984
tt0080684,nm0102824
tt0080684,nm0000184
tt0080684,nm0001410
tt0120737,nm0866058
tt0120737,nm0101991
tt0120737,nm0909638
tt0120737,nm0001392
tt0110912,nm0000233
tt0110912,nm0000812
tt0137523,nm0657333
tt0137523,nm0880243
tt0137523,nm0000399
tt0167260,nm0866058
tt0167260,nm0101991
tt0167260,nm0909638
tt0167260,nm0001392
tt0108052,nm0001873
tt0108052,nm0000229
tt0108052,nm0447745
tt0071562,nm0000338
tt0071562,nm0701374
tt0050083,nm0001486
tt0050083,nm0741627
tt0111161,nm0000175
tt0111161,nm0001104
tt0468569,nm0634240
tt0468569,nm0634300
tt0468569,nm0275286
tt0068646,nm0000338
tt0068646,nm0701374
