mid,name,mpaa,description,release_date,overall_rating
tt0097576,Indiana Jones and the Last Crusade,PG-13,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry 'Indiana' Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",1989-05-24,0
tt0208092,Snatch,R,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2001-01-19,0
tt0044741,Ikiru,Not Rated,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,1956-03-25,0
tt0095016,Die Hard,R,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988-07-20,0
tt0113277,Heat,R,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1995-12-15,0
tt0056592,To Kill a Mockingbird,Approved,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",1963-03-16,0
tt8503618,Hamilton,PG-13,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",2020-07-03,0
tt1049413,Up,PG,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2009-05-29,0
tt0075314,Taxi Driver,R,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1976-02-09,0
tt0070735,The Sting,PG,Two grifters team up to pull off the ultimate con.,1973-12-25,0
tt0091251,Come and See,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",1985-09-03,0
tt0093058,Full Metal Jacket,R,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987-07-10,0
tt0119488,L.A. Confidential,R,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",1997-09-19,0
tt0052357,Vertigo,PG,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",1958-05-22,0
tt0211915,Amélie,R,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",2002-02-08,0
tt0036775,Double Indemnity,Passed,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",1944-07-06,0
tt0053604,The Apartment,Approved,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",1960-06-29,0
tt8267604,Capernaum,R,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018-09-20,0
tt2106476,The Hunt,R,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2013-01-10,0
tt0022100,M,Passed,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1931-08-31,0
tt0056172,Lawrence of Arabia,Approved,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962-12-11,0
tt0086250,Scarface,R,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",1983-12-09,0
tt0057565,High and Low,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,1963-11-26,0
tt0033467,Citizen Kane,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",1941-09-05,0
tt0105236,Reservoir Dogs,R,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992-09-02,0
