mid,aid
tt6966692,nm0001557
tt6966692,nm0991810
tt6966692,nm0004802
tt0112641,nm0000134
tt0112641,nm0000232
tt0112641,nm0000582
tt5074352,nm0451148
tt5074352,nm2799219
tt5074352,nm0760778
tt0059578,nm0000142
tt0059578,nm0001812
tt0059578,nm0002231
tt0012349,nm0000122
tt0012349,nm0701012
tt0012349,nm0001067
tt0372784,nm0000288
tt0372784,nm0000323
tt0372784,nm0913822
tt0986264,nm2594301
tt0986264,nm0451148
tt0986264,nm1538116
tt8579674,nm2835616
tt8579674,nm1126657
tt8579674,nm0990547
tt0040522,nm0536009
tt0040522,nm0821543
tt0040522,nm0136794
tt0017136,nm0375609
tt0017136,nm0002154
tt0017136,nm0297054
tt0363163,nm0004486
tt0363163,nm0487884
tt0363163,nm0559890
tt0097576,nm0000148
tt0097576,nm0000125
tt0097576,nm0233145
tt1832382,nm1818216
tt1832382,nm0368689
tt1832382,nm4299147
tt1255953,nm0044073
tt1255953,nm0246386
tt1255953,nm0309945
tt0095016,nm0000246
tt0095016,nm0000614
tt0095016,nm0000889
tt0070735,nm0000056
tt0070735,nm0000602
tt0070735,nm0001727
tt0208092,nm0005458
tt0208092,nm0000093
tt0208092,nm0334318
tt1049413,nm0000799
tt1049413,nm2973712
tt1049413,nm0001652
tt0113277,nm0000199
tt0113277,nm0000134
tt0113277,nm0000174
tt0119488,nm0000228
tt0119488,nm0000128
tt0119488,nm0001602
tt8503618,nm0592135
tt8503618,nm5623883
tt8503618,nm1502434
tt0056592,nm0000060
tt0056592,nm0576345
tt0056592,nm0653942
tt0044741,nm0793766
tt0044741,nm0437520
tt0044741,nm0385443
tt0075314,nm0000134
tt0075314,nm0000149
tt0075314,nm0001732
tt0036775,nm0534045
tt0036775,nm0001766
tt0036775,nm0000064
tt0086250,nm0000199
tt0086250,nm0000201
tt0086250,nm0000874
tt0053604,nm0000493
tt0053604,nm0000511
tt0053604,nm0534045
tt0093058,nm0000546
tt0093058,nm0000388
tt0093058,nm0000352
tt0066921,nm0000532
tt0066921,nm0535861
tt0066921,nm0060988
tt0052357,nm0000071
tt0052357,nm0001571
tt0052357,nm0000895
tt2106476,nm0586568
tt2106476,nm0488917
tt2106476,nm5038871
tt0091251,nm0470385
tt0091251,nm0592500
tt0091251,nm0490708
tt0053125,nm0000026
tt0053125,nm0001693
tt0053125,nm0000051
tt8267604,nm9862858
tt8267604,nm9862859
tt8267604,nm9862860
tt0057565,nm0001536
tt0057565,nm0755403
tt0057565,nm0619938
tt0056172,nm0000564
tt0056172,nm0000027
tt0056172,nm0000063
tt0062622,nm0001158
tt0062622,nm0516972
tt0062622,nm0843213
tt0022100,nm0000048
tt0022100,nm0927145
tt0022100,nm0484737
tt0211915,nm0851582
